Month,Year,No_of_Member_Banks,Volume_in_Millions,Value_in_Crore,category 
01-10-2024,2024,909,466.82,629381.51,IMPS
01-09-2024,2024,902,429.93,565232.68,IMPS
01-08-2024,2024,892,453.33,577887.89,IMPS
01-07-2024,2024,888,490.28,593176.6,IMPS
01-06-2024,2024,886,516.75,577794.22,IMPS
01-05-2024,2024,875,557.7,606166.8,IMPS
01-04-2024,2024,871,550.36,592278.85,IMPS
01-03-2024,2024,867,580.64,634705.71,IMPS
01-02-2024,2024,856,534.63,568091.81,IMPS
01-01-2024,2024,845,508.79,566309.72,IMPS
01-12-2023,2023,827,498.79,570126.05,IMPS
01-11-2023,2023,821,472.38,535001.69,IMPS
01-10-2023,2023,816,492.88,538238.51,IMPS
01-09-2023,2023,807,472.9,507497.22,IMPS
01-08-2023,2023,797,489.16,514279.53,IMPS
01-07-2023,2023,788,489.71,512311.87,IMPS
01-06-2023,2023,777,468.1,500481.23,IMPS
01-05-2023,2023,749,499.98,525810.13,IMPS
01-04-2023,2023,717,495.8,521050.26,IMPS
01-03-2023,2023,713,497.06,546235.62,IMPS
01-02-2023,2023,706,447.82,468647.1,IMPS
01-01-2023,2023,694,474.51,477592.02,IMPS
01-12-2022,2022,684,485.84,486552.12,IMPS
01-11-2022,2022,677,463.48,454678.64,IMPS
01-10-2022,2022,674,482.46,466081.76,IMPS
01-09-2022,2022,666,462.69,455056.84,IMPS
01-08-2022,2022,652,466.91,445988.96,IMPS
01-07-2022,2022,647,460.83,444540.95,IMPS
01-06-2022,2022,647,455.7,443776.03,IMPS
01-05-2022,2022,647,484.81,452328.1,IMPS
01-04-2022,2022,647,471.62,444669.88,IMPS
01-03-2022,2022,644,492,462278.8,IMPS
01-02-2022,2022,644,420.93,384404.01,IMPS
01-01-2022,2022,645,440.17,387006.73,IMPS
01-12-2021,2021,643,442.98,396411.41,IMPS
01-11-2021,2021,637,412.05,364679.71,IMPS
01-10-2021,2021,649,430.67,370712.43,IMPS
01-09-2021,2021,644,384.88,324094.24,IMPS
01-08-2021,2021,641,379.71,320202.97,IMPS
01-07-2021,2021,639,349.76,309054.12,IMPS
01-06-2021,2021,647,303.76,284033.21,IMPS
01-05-2021,2021,642,279.81,266241.36,IMPS
01-04-2021,2021,639,322.96,299527.03,IMPS
01-03-2021,2021,638,363.14,327234.43,IMPS
01-02-2021,2021,629,318.79,275229.09,IMPS
01-01-2021,2021,623,346.55,288537.18,IMPS
01-12-2020,2020,620,355.69,292324.15,IMPS
01-11-2020,2020,618,339.11,276458.91,IMPS
01-10-2020,2020,611,318.97,274644.73,IMPS
01-09-2020,2020,603,279.61,248661.66,IMPS
01-08-2020,2020,590,246.12,235136.91,IMPS
01-07-2020,2020,585,222.1,225775.24,IMPS
01-06-2020,2020,579,198.91,206950.8,IMPS
01-05-2020,2020,578,166.68,169401.68,IMPS
01-04-2020,2020,576,122.47,121140.79,IMPS
01-03-2020,2020,573,216.82,201961.7,IMPS
01-02-2020,2020,570,247.8,214565.66,IMPS
01-01-2020,2020,567,259.53,216810.7,IMPS
01-12-2019,2019,559,256.47,210934.23,IMPS
01-11-2019,2019,556,228.08,202903.64,IMPS
01-10-2019,2019,546,236.93,212660.44,IMPS
01-09-2019,2019,538,204.16,183746.95,IMPS
01-08-2019,2019,498,200.31,189112.88,IMPS
01-07-2019,2019,498,189.28,182021.01,IMPS
01-06-2019,2019,498,171.33,173019.27,IMPS
01-05-2019,2019,498,183.33,180456.44,IMPS
01-04-2019,2019,498,185.04,169197.08,IMPS
01-03-2019,2019,498,190.18,176288.88,IMPS
01-02-2019,2019,394,166.37,149342.6,IMPS
01-01-2019,2019,394,171.51,152296.81,IMPS
01-12-2018,2018,394,176.93,146898.58,IMPS
01-11-2018,2018,394,149.94,134756.74,IMPS
01-10-2018,2018,394,154.62,140306.54,IMPS
01-09-2018,2018,394,135.74,125639.83,IMPS
01-08-2018,2018,394,133.58,123733.51,IMPS
01-07-2018,2018,394,127.38,117166.56,IMPS
01-06-2018,2018,364,120.49,113011.57,IMPS
01-05-2018,2018,364,116.62,108574.96,IMPS
01-04-2018,2018,364,109.55,102240.26,IMPS
01-03-2018,2018,341,110.16,103804.02,IMPS
01-02-2018,2018,341,99.25,88270.33,IMPS
01-01-2018,2018,323,99.59,88213.58,IMPS
01-12-2017,2017,303,98.01,87106.19,IMPS
01-11-2017,2017,296,89.49,78257.69,IMPS
01-10-2017,2017,296,88.12,75041.61,IMPS
01-09-2017,2017,261,82.85,71759.59,IMPS
01-08-2017,2017,261,75.66,65149.47,IMPS
01-07-2017,2017,239,69.07,60476.19,IMPS
01-06-2017,2017,239,65.84,59654.53,IMPS
01-05-2017,2017,239,66.72,58559.08,IMPS
01-04-2017,2017,236,65.08,56205.84,IMPS
01-03-2017,2017,236,67.41,56468.35,IMPS
01-02-2017,2017,193,59.75,48221.29,IMPS
01-01-2017,2017,192,62.43,49125.6,IMPS
01-12-2016,2016,190,52.86,43200.7,IMPS
01-11-2016,2016,187,36.17,32480.53,IMPS
01-10-2016,2016,182,42.11,34371.15,IMPS
01-09-2016,2016,180,35.93,28911.77,IMPS
01-08-2016,2016,175,33.89,26848.86,IMPS
01-07-2016,2016,171,32.18,25853.79,IMPS
01-06-2016,2016,169,29.68,23716.52,IMPS
01-05-2016,2016,164,27.66,21617.76,IMPS
01-04-2016,2016,143,26.78,21044.3,IMPS
01-03-2016,2016,134,25.98,19873.07,IMPS
01-02-2016,2016,132,23.8,16967.04,IMPS
01-01-2016,2016,125,22.48,16559.22,IMPS
01-12-2015,2015,124,20.52,15073.11,IMPS
01-11-2015,2015,117,19.08,13767.06,IMPS
01-10-2015,2015,111,19.42,13704.96,IMPS
01-09-2015,2015,108,17.72,12070.87,IMPS
01-08-2015,2015,104,16.65,11906.97,IMPS
01-07-2015,2015,100,15.6,11217.2,IMPS
01-06-2015,2015,95,13.82,10324.97,IMPS
01-05-2015,2015,92,13.32,10675.33,IMPS
01-04-2015,2015,84,12.37,10089.18,IMPS
01-03-2015,2015,81,12.02,9414.7,IMPS
01-02-2015,2015,76,10.08,7590.82,IMPS
01-01-2015,2015,74,9.33,6972.62,IMPS
01-12-2014,2014,73,8.38,6036.55,IMPS
01-11-2014,2014,71,7.09,5259.01,IMPS
01-10-2014,2014,71,6.51,4898.8,IMPS
01-09-2014,2014,69,5.86,4294.64,IMPS
01-08-2014,2014,67,4.8,3519.74,IMPS
01-07-2014,2014,65,4.26,3018.64,IMPS
01-06-2014,2014,63,3.71,2610.06,IMPS
01-05-2014,2014,62,3.3,2416,IMPS
01-04-2014,2014,60,3.11,2157.24,IMPS
01-03-2014,2014,60,3,2050.03,IMPS
01-02-2014,2014,59,2.23,1455.6,IMPS
01-01-2014,2014,59,2.03,1320.28,IMPS
01-12-2013,2013,59,1.84,1170.15,IMPS
01-11-2013,2013,59,1.31,881.6,IMPS
01-10-2013,2013,59,1.22,731.84,IMPS
01-09-2013,2013,59,1.02,552.75,IMPS
01-10-2024,2024,632,16584.97,2349821.45,UPI
01-09-2024,2024,622,15041.75,2063994.71,UPI
01-08-2024,2024,608,14963.05,2060735.57,UPI
01-07-2024,2024,605,14435.55,2064292.4,UPI
01-06-2024,2024,602,13885.14,2007081.16,UPI
01-05-2024,2024,598,14035.84,2044937.05,UPI
01-04-2024,2024,581,13303.99,1964464.52,UPI
01-03-2024,2024,572,13440,1978353.23,UPI
01-02-2024,2024,560,12102.67,1827869.35,UPI
01-01-2024,2024,550,12203.02,1841083.97,UPI
01-12-2023,2023,522,12020.23,1822949.42,UPI
01-11-2023,2023,516,11235.29,1739740.61,UPI
01-10-2023,2023,505,11408.79,1715768.34,UPI
01-09-2023,2023,492,10555.69,1579133.18,UPI
01-08-2023,2023,484,10586.02,1576536.56,UPI
01-07-2023,2023,473,9964.61,1533645.2,UPI
01-06-2023,2023,458,9335.06,1475464.27,UPI
01-05-2023,2023,445,9415.19,1489145.44,UPI
01-04-2023,2023,414,8898.14,1407007.55,UPI
01-03-2023,2023,399,8685.3,1410443.01,UPI
01-02-2023,2023,390,7534.76,1235846.62,UPI
